"Time","Average alt","Bucket Script","Average vel_v"
1735167780000,474.95000000000005,undefined,6.494999999999999
1735167810000,567.2636363636364,3.0771212121212104,5.315454545454545
1735167840000,717.0142857142857,4.991688311688312,5.270952380952381
1735167870000,857.7523809523809,4.69126984126984,5.118095238095238
1735167900000,1054.0266666666666,6.542476190476191,5.297333333333333
1735167930000,1194.28,4.675111111111111,5.5472
1735167960000,1362.2315789473685,5.598385964912283,5.675263157894737
1735167990000,1534.5541666666668,5.744086257309944,5.094166666666667
1735168020000,1698.336,5.459394444444441,5.7352
1735168050000,1865.1423076923077,5.560210256410255,5.606153846153846
1735168080000,2031.9519999999998,5.56032307692307,5.2888
1735168110000,2200.8576923076926,5.630189743589759,5.386923076923077
1735168140000,2367.65,5.559743589743585,5.458461538461538
1735168170000,2535.4166666666665,5.592222222222214,5.765
1735168200000,2702.22,5.56011111111111,5.691599999999999
1735168230000,2865.316666666667,5.436555555555575,5.314583333333333
1735168260000,3039.724,5.81357777777777,6.0864
1735168290000,3207.828,5.603466666666661,5.32
1735168320000,3373.028,5.506666666666661,5.682
1735168350000,3537.225,5.473233333333337,5.424166666666667
1735168380000,3706.8729166666667,5.65493055555556,5.372083333333333
1735168410000,3860.926086956522,5.135105676328506,5.566521739130435
1735168440000,4021.277777777778,5.345056360708531,5.283333333333333
1735168470000,4177.765957446809,5.216272655634369,4.47404255319149
1735168500000,4325.762686567164,4.9332243040118255,5.036567164179104
1735168530000,4474.356363636363,4.953122568973322,5.1819999999999995
1735168560000,4624.604,5.008254545454565,4.3107999999999995
1735168590000,4755.724,4.370666666666663,4.8388
1735168620000,4903.400000000001,4.922533333333346,4.6379166666666665
1735168650000,5047.933333333333,4.817777777777762,4.612916666666666
1735168680000,5189.581632653061,4.721609977324261,4.882448979591837
1735168710000,5339.584,5.0000789115646205,5.6676
1735168740000,5502.784000000001,5.440000000000024,4.926
1735168770000,5653.056,5.009066666666635,4.8656
1735168800000,5806.695833333334,5.121327777777818,5.413333333333334
1735168830000,5964.729166666667,5.267777777777762,5.042916666666667
1735168860000,6112.0086956521745,4.909317632850252,4.918260869565217
1735168890000,6263.2,5.0397101449275095,5.114
1735168920000,6415.916,5.090533333333345,4.9804
1735168950000,6570.74,5.160799999999987,4.9344
1735168980000,6725.75,5.167000000000007,5.109166666666667
1735169010000,6866.823188405797,4.702439613526561,4.517971014492754
1735169040000,7001.870833333333,4.501588164251219,4.765416666666667
1735169070000,7146.678260869565,4.826914251207715,5.245072463768116
1735169100000,7300.25744680851,5.1193061979648515,4.658404255319149
1735169130000,7450.1626506024095,4.996840126463303,4.340240963855422
1735169160000,7581.115714285714,4.365102122776807,4.335857142857143
1735169190000,7713.785915492958,4.4223400402414885,4.260281690140845
1735169220000,7844.779166666666,4.366441705790264,4.594166666666666
1735169250000,7982.802173913044,4.600766908212578,4.823804347826087
1735169280000,8112.962921348314,4.338691581175681,4.062134831460675
1735169310000,8253.652631578947,4.6896570076877655,4.838947368421053
1735169340000,8397.681632653062,4.800966702470517,5.037142857142857
1735169370000,8549.210683495145,5.050968361402738,4.585339805825243
1735169400000,8682.342055714287,4.437712407304753,4.59984126984127
1735169430000,8823.113887478261,4.692394392132458,4.366260869565218
1735169460000,8959.13824490196,4.5341452474566415,5.359019607843138
1735169490000,9125.108695652174,5.532348358340459,5.0028985507246375
1735169520000,9266.230120481927,4.704047494325096,4.00132530120482
1735169550000,9381.543619148935,3.8437832889002794,4.072021276595745
1735169580000,9522.250020673077,4.690213384138042,5.814134615384615
1735169610000,9707.088237647058,6.161273899132721,5.104117647058824
1735169640000,9857.956,5.0289254117647335,4.2581999999999995
1735169670000,9980.711,4.091833333333307,4.9655000000000005
1735169700000,10134.359770114943,5.121625670498118,5.098850574712644
1735169730000,10301.810714285715,5.581698139025745,5.340267857142857
1735169760000,10482.273529411765,6.015427170868316,6.271568627450981
1735169790000,10649.201020408163,5.5642496998799595,5.071428571428571
1735169820000,10812.795049504952,5.4531343032262765,5.194455445544555
1735169850000,10961.163392857143,4.945611445073033,4.673660714285715
1735169880000,11102.997058823528,4.727788865546184,4.637745098039216
1735169910000,11230.77789473684,4.259361197110411,4.479578947368421
1735169940000,11352.842268041237,4.068812443479874,4.2034020618556704
1735169970000,11475.243478260869,4.080040340654402,4.170217391304347
1735170000000,11602.143180227273,4.229990065546796,4.165227272727273
1735170030000,11722.777052377049,4.021129071659198,4.167459016393443
1735170060000,11855.879166666666,4.436737142987234,4.492500000000001
1735170090000,11986.756818181819,4.3625883838384345,4.727613636363636
1735170120000,12128.822576451614,4.735525275659833,4.964086021505377
1735170150000,12286.733988252428,5.2637137266938225,4.830970873786408
1735170180000,12407.666080086956,4.031069727817582,3.846695652173913
1735170210000,12515.080869652174,3.5804929855072865,3.6826086956521737
1735170240000,12630.749603057851,3.855624446855897,4.042809917355372
1735170270000,12755.940510578514,4.173030250688741,4.276694214876033
1735170300000,12883.952631578948,4.267070700014483,4.48
1735170330000,13012.287272727273,4.277821371610844,4.565545454545455
1735170360000,13142.14594054054,4.3286222604422315,4.332342342342343
1735170390000,13270.048436015624,4.263416515836131,4.371796875
1735170420000,13393.527504765101,4.115968958315898,4.240738255033557
1735170450000,13520.83268,4.2435058411632784,4.399866666666667
1735170480000,13653.596559178082,4.425462639269426,4.598630136986301
1735170510000,13789.095486666667,4.516630916286158,4.865855855855856
1735170540000,13933.260204081633,4.805490580498857,4.803265306122449
1735170570000,14073.941121495327,4.689363913789808,4.553644859813084
1735170600000,14218.606666666667,4.822184839044652,4.815809523809524
